@relation dataset2

@attribute neighbourhood numeric
@attribute price numeric
@attribute minimum_nights numeric
@attribute availability_365 numeric
@attribute room_type {'Private room','Entire home/apt','Shared room'}

@data
1,18,1,181,'Private room'
1,100,1,178,'Entire home/apt'
1,40,1,364,'Private room'
1,23,1,71,'Private room'
1,25,6,181,'Private room'
1,110,2,66,'Entire home/apt'
1,45,1,364,'Private room'
1,55,3,365,'Private room'
1,35,1,325,'Private room'
1,99,3,216,'Private room'
1,29,1,365,'Private room'
1,55,1,89,'Private room'
1,28,1,299,'Private room'
1,50,1,365,'Private room'
1,35,3,365,'Private room'
1,50,1,31,'Private room'
1,35,1,90,'Private room'
1,35,1,179,'Private room'
1,65,1,61,'Entire home/apt'
1,99,3,161,'Entire home/apt'
1,49,1,355,'Entire home/apt'
1,20,1,84,'Private room'
1,70,1,307,'Entire home/apt'
1,24,1,0,'Private room'
1,39,5,356,'Private room'
1,35,10,365,'Private room'
1,40,1,0,'Entire home/apt'
1,80,2,359,'Entire home/apt'
1,35,1,363,'Private room'
1,43,2,62,'Entire home/apt'
1,60,3,365,'Entire home/apt'
1,39,2,91,'Private room'
1,28,1,335,'Private room'
1,23,1,180,'Private room'
1,32,1,364,'Private room'
1,95,2,365,'Entire home/apt'
1,25,1,363,'Private room'
1,25,1,47,'Private room'
1,25,1,339,'Private room'
1,60,14,0,'Entire home/apt'
1,150,5,86,'Entire home/apt'
1,27,21,178,'Private room'
1,45,1,365,'Private room'
1,75,3,346,'Entire home/apt'
1,29,3,365,'Private room'
1,79,7,90,'Private room'
1,67,2,0,'Entire home/apt'
1,42,1,161,'Entire home/apt'
1,50,1,365,'Private room'
1,95,3,271,'Entire home/apt'
1,59,3,319,'Entire home/apt'
1,18,2,230,'Private room'
1,65,4,365,'Entire home/apt'
1,300,3,167,'Entire home/apt'
1,30,1,17,'Private room'
1,60,3,365,'Private room'
1,28,2,75,'Private room'
1,70,2,278,'Entire home/apt'
1,55,1,180,'Private room'
1,80,2,73,'Entire home/apt'
1,95,2,62,'Entire home/apt'
1,35,2,359,'Private room'
1,68,1,334,'Entire home/apt'
1,29,1,225,'Private room'
1,21,1,365,'Private room'
1,85,5,89,'Entire home/apt'
1,50,1,362,'Private room'
1,40,1,42,'Entire home/apt'
1,60,5,173,'Entire home/apt'
1,68,2,90,'Private room'
1,30,6,272,'Private room'
1,15,1,294,'Private room'
1,40,5,0,'Entire home/apt'
1,30,3,365,'Private room'
1,20,4,337,'Private room'
1,30,1,365,'Private room'
1,80,2,88,'Entire home/apt'
1,16,1,360,'Private room'
1,75,1,365,'Entire home/apt'
1,39,2,365,'Private room'
1,90,1,0,'Entire home/apt'
1,45,1,90,'Private room'
1,20,3,364,'Private room'
1,25,1,57,'Private room'
1,28,1,90,'Private room'
1,27,7,358,'Private room'
1,14,3,89,'Private room'
1,40,1,365,'Private room'
1,40,1,356,'Private room'
1,55,1,362,'Private room'
1,20,1,276,'Private room'
1,25,1,89,'Private room'
1,35,1,364,'Private room'
1,48,5,109,'Entire home/apt'
1,56,1,365,'Private room'
1,40,2,365,'Private room'
1,28,1,70,'Private room'
1,35,3,297,'Private room'
1,40,1,0,'Private room'
1,28,1,170,'Private room'
1,29,2,75,'Private room'
1,35,2,365,'Private room'
1,65,2,365,'Private room'
1,36,3,3,'Entire home/apt'
1,47,5,126,'Entire home/apt'
1,50,1,90,'Private room'
1,69,2,363,'Entire home/apt'
1,25,1,364,'Private room'
1,405,3,271,'Entire home/apt'
1,27,2,160,'Private room'
1,35,2,18,'Private room'
1,60,1,365,'Private room'
1,90,1,365,'Private room'
1,34,7,358,'Private room'
1,35,2,271,'Private room'
